url,stories_id,tweet_finder_embeds,tweet_finder_mentions,tweet_finder_js_embeds,tweet_finder_js_mentions,goose_embeds,goose_js_embeds
https://www.npr.org/2021/05/24/999790233/officials-say-hate-crimes-against-jews-are-growing-in-the-aftermath-of-gaza-viol,,0,2,0,2,0,0
https://www.cbsnews.com/news/texas-defund-police-bill-abbott/,,1,4,1,4,1,1
https://www.npr.org/2021/05/04/993604289/man-who-shot-and-killed-3-at-kansas-jewish-centers-dies-in-prison,,0,1,0,1,0,0
https://www.npr.org/2021/05/25/1000129271/marjorie-taylor-greenes-holocaust-remarks-blasted-by-republicans-leaders,,2,3,4,3,0,0
https://www.foxbusiness.com/lifestyle/gas-prices-increasing-midwest-memorial-day-weekend,,0,3,0,3,0,0
https://newrepublic.com/article/161084/republican-retreat-governance-voter-suppression,,1,0,1,0,1,0
https://www.cbsnews.com/news/alexei-navalny-russia-putin-critic-prison-health-infirmary-arrests/,,2,0,2,0,2,2
https://www.cbsnews.com/news/rand-paul-suspicious-package-white-powder/,,1,1,1,1,1,0
https://www.npr.org/2021/05/20/998795586/ortega-targets-opposition-figures-as-nicaraguan-elections-approach,,0,4,0,4,0,0
https://www.techradar.com/news/lord-of-the-rings-on-amazon,,5,0,5,0,5,0
https://www.vice.com/en/article/wx8wm5/arkansas-just-became-the-first-state-to-ban-health-care-for-trans-kids,,0,1,1,1,0,0
https://www.foxnews.com/us/us-seeing-wave-of-textbook-anti-semitism-amid-israel-gaza-tensions,,0,0,2,0,0,0
https://edition.cnn.com/2021/05/12/football/mo-salah-tweet-riyad-mahrez-benjamin-mendy-spt-intl/index.html,,5,5,5,5,5,1
https://www.cnn.com/us/live-news/san-jose-ca-shooting-05-26-21/h_41658163e6c6f2416d346adb6c01119f,,1,0,1,0,0,0
https://www.npr.org/2021/05/21/999020140/its-now-legal-to-practice-yoga-in-alabamas-public-schools,,1,0,1,0,0,0
https://www.breitbart.com/economy/2021/03/03/washington-post-editorial-board-15-minimum-wage-will-not-happen/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,,3,1,3,1,3,0
https://www.cnn.com/2021/05/17/investing/bitcoin-price-elon-musk-tesla-intl-hnk/index.html,,1,2,1,2,1,0
https://www.msnbc.com/opinion/texas-new-abortion-law-isn-t-just-dangerous-it-s-n1267950,,1,1,1,1,1,1
https://www.msnbc.com/opinion/saying-israel-guilty-apartheid-isn-t-antisemitic-just-ask-these-n1268785,,0,2,0,2,0,0
https://www.cbsnews.com/news/covid-19-vaccine-lottery-california-116-million/,,0,1,0,1,0,0
https://www.foxnews.com/opinion/biden-southern-border-crime-scene-deroy-murdock,,0,0,0,0,0,0
https://www.foxnews.com/us/new-jersey-house-party-shooting-dead-injured-state-police-suspect,,0,1,2,1,0,0
https://www.foxnews.com/us/fox-news-spots-migrant-group-running-across-southern-border-into-us,,0,0,1,0,0,0
https://www.foxnews.com/politics/black-lives-matter-hamas-terrorists-israeli,,0,4,3,4,0,0
https://www.csmonitor.com/World/Asia-South-Central/2021/0103/Why-India-is-banning-the-export-of-newly-approved-vaccines,,0,1,0,1,0,0
https://www.theguardian.com/world/2021/may/13/how-covid-lockdown-forged-unlikely-friendships,,0,2,0,2,0,0
https://www.npr.org/2021/05/25/999791732/mask-or-no-mask-confusion-persists-as-businesses-decide-on-policies,,0,0,0,0,0,0
https://www.msnbc.com/opinion/military-police-have-get-covid-19-vaccinations-keep-us-safe-n1266344,,0,0,0,0,0,0
https://www.npr.org/sections/health-shots/2021/05/18/997461471/its-time-for-americas-fixation-with-herd-immunity-to-end-scientists-say,,0,0,0,0,0,0
https://boston.cbslocal.com/2021/05/26/boston-dorchester-fire-fayston-street-homes-burning/,,1,1,1,1,1,0
https://www.msnbc.com/opinion/republicans-say-court-packing-unconstitutional-they-re-wrong-n1265972,,1,0,1,0,1,1
https://www.foxnews.com/media/dueling-narratives-bidens-pandemic-progress-could-be-overshadowed-by-border-crisis,,0,1,0,1,0,0
https://thehill.com/homenews/media/552420-poll-americans-fox-news-nyt-cnn-msnbc-as-mainstream-media,,0,0,0,0,0,0
https://www.cnn.com/2021/05/24/entertainment/kevin-spacey-first-film-sexual-assault-allegations/index.html,,0,0,0,0,0,0
https://www.cnn.com/2021/05/26/world/antarctica-seals-scientists-glaciers-scn-c2e-hnk-spc-intl/index.html,,0,0,0,0,0,0
https://www.arkansasonline.com/news/2021/may/13/hamas-israel-fighting-escalates-even-amid-truce/,,0,0,0,0,0,0
https://www.cnn.com/2021/05/25/politics/marjorie-taylor-greene-holocaust-remarks/index.html,,0,7,0,7,0,0
https://www.cnn.com/2021/05/23/europe/belarus-activist-emergency-landing-intl/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_latest+%28RSS%3A+CNN+-+Most+Recent%29,,0,4,0,4,0,0
https://www.thedailybeast.com/the-matt-gaetz-and-marjorie-taylor-greene-traveling-freak-show-is-the-future-of-the-gop?ref=scroll,,0,1,0,1,0,0
https://www.staradvertiser.com/2021/05/17/breaking-news/trump-justice-department-tried-to-use-grand-jury-to-identify-critic-of-rep-devin-nunes-on-twitter/,,0,0,0,2,0,0
